"activityNameEN","org:resource"
"register submission date request","9264148"
"OLO messaging active","9264148"
"send confirmation receipt","9264148"
"forward to the competent authority","9264148"
"regular procedure without MER","9264148"
"create procedure confirmation","9264148"
"create subcases completeness","9264148"
"create publication document","9264148"
"phase application received","9264148"
"start WABOprocedure","9264148"
"registration date publication","9264148"
"send confirmation receipt","9264148"
"enter senddate acknowledgement","9264148"
"request complete","2670601"
"send letter in progress","2670601"
"procedure change","2670601"
"article 34  WABO applies","2670601"
"grounds for refusal","2670601"
"ask stakeholders views","2670601"
"suspension ground applicable","2670601"
"coordination of application","2670601"
"by law","2670601"
"decision date prior to decision","2670601"
"submit decision","2670601"
"procedure change","2670601"
"phase decision ready","2670601"
"generating decision environmental permit","2670601"
"phase application receptive","2670601"
"phase advice known","2670601"
"creating environmental permit decision","2670601"
"treat subcases content","2670601"
"assessment of content completed","2670601"
"completed subcases content","2670601"
"set decision status","2670601"
"register objection and appeal periods","560912"
"creating cover letter decision","560912"
"transcript decision environmental permit to stakeholders","560912"
"record date of decision environmental permit","560912"
"enter senddate decision environmental permit","560912"
"set decision phase decision permitting decided","560912"
"phase decision taken","560912"
"enter senddate decision","560912"
"phase decision sent","560912"
"enter senddate decision environmental permit","560912"
"start decision phase decision permitting sent","560912"
"create procedure confirmation","560872"
"create subcases completeness","560872"
"create publication document","560872"
"OLO messaging active","560872"
"send confirmation receipt","560872"
"forward to the competent authority","560872"
"regular procedure without MER","560872"
"register submission date request","560872"
"start WABOprocedure","560872"
"phase application received","560872"
"send confirmation receipt","560872"
"registration date publication","560872"
"enter senddate acknowledgement","560872"
"request complete","2670601"
"term for supplying missing data","2670601"
"create letter requesting missing data","2670601"
"procedure change","2670601"
"retrieve missing data","2670601"
"phase asked additional information","2670601"
"enter senddate retrieve missing data","2670601"
"receive additional information","2670601"
"enter receipt of additional data","2670601"
"phase additional information received","2670601"
"MER present in supplement","560872"
"send confirmation receipt additional data","560872"
"procedure change after completeness","2670601"
"send letter in progress","2670601"
"procedure change","2670601"
"article 34  WABO applies","2670601"
"grounds for refusal","2670601"
"ask stakeholders views","2670601"
"suspension ground applicable","2670601"
"coordination of application","2670601"
"by law","2670601"
"decision date prior to decision","2670601"
"submit decision","2670601"
"register objection and appeal periods","560912"
"creating cover letter decision","560912"
"request complete","2670601"
"enter senddate decision","560912"
"phase decision taken","560912"
"phase advice known","2670601"
